7,24,4
3,13,3
12,43,3
18,31,5
19,11,4
14,50,5
5,7,4
11,50,3
13,14,4
8,16,5
12,27,5
15,25,4
16,20,5
5,47,3
14,37,4
11,38,5
2,41,5
3,21,5
1,19,5
15,13,5
7,48,4
2,21,5
12,6,5
15,3,5
18,24,4
13,15,1
15,41,2
11,4,5
8,1,2
6,10,5
9,2,4
9,27,5
18,14,4
10,3,5
5,14,4
17,48,4
19,32,5
15,19,4
10,15,5
16,50,5
8,34,3
19,17,4
14,27,3
9,10,3
7,29,3
12,23,1
4,10,4
19,4,3
10,48,4
9,22,3
11,18,4
11,30,3
10,37,5
5,44,5
17,17,5
1,28,5
5,23,5
5,36,5
3,14,4
8,51,4
5,32,4
3,39,5
3,28,5
1,38,5
7,50,5
1,50,3
3,19,5
3,36,4
12,35,4
18,40,5
1,7,4
16,48,4
19,12,5
7,2,4
4,21,5
17,46,5
18,45,3
4,26,4
12,2,3
13,36,3
17,33,3
19,37,4
10,21,5
6,22,4
12,18,3
12,31,3
2,4,5
6,9,5
11,14,5
15,51,5
1,47,4
9,46,4
8,29,5
19,5,5
1,6,5
8,17,5
17,24,4
15,11,3
13,27,5
2,47,2
2,17,3
13,32,5
7,22,3
15,6,4
2,38,2
13,29,4
11,47,5
3,15,4
4,23,5
12,28,3
12,7,4
15,34,5
3,37,3
9,39,5
16,13,5
17,29,1
14,25,3
4,7,1
2,7,5
2,31,1
11,31,5
8,13,3
16,7,2
17,36,5
11,37,5
3,1,5
15,36,5
6,4,5
3,24,5
3,4,5
9,13,5
2,44,4
7,14,3
19,49,3
8,26,4
8,42,4
17,11,5
10,19,5
1,10,5
17,10,2
4,17,5
17,2,4
6,46,4
12,51,5
5,4,1
14,29,4
3,48,5
19,2,5
16,35,4
5,49,2
5,41,5
15,18,5
17,31,1
6,27,3
13,4,4
14,12,5
18,41,5
7,18,5
16,24,4
2,13,1
19,45,5
5,5,3
14,6,4
15,20,5
8,5,5
16,22,3
13,37,3
8,44,5
18,10,5
17,8,4
9,23,5
10,23,4
1,21,5
17,27,5
2,18,4
4,48,3
12,9,5
16,5,5
14,40,4
12,17,3
9,34,4
4,51,5
1,43,3
5,35,5
13,22,5
3,42,5
11,24,5
4,6,5
9,32,4
18,8,5
12,19,5
13,49,5
9,42,5
7,36,4
14,16,3
19,50,1
17,44,1
5,30,5
19,23,4
6,24,1
15,29,4
7,9,5
16,43,3
16,17,4
8,35,5
11,5,5
4,39,4
5,31,5
18,37,4
9,40,3
19,41,5
1,14,4
16,15,5
17,28,5
17,14,5
2,12,4
3,2,5
7,45,3
13,2,5
9,49,4
10,44,5
10,20,5
2,43,4
17,35,5
7,4,5
1,23,3
12,11,3
12,13,3
7,28,4
4,35,4
16,2,2
18,1,4
5,20,5
8,18,5
3,32,3
13,5,5
2,49,4
7,13,5
12,15,3
4,33,4
17,20,5
4,46,3
9,25,4
13,9,5
2,27,5
6,45,5
7,7,5
13,26,3
3,33,2
4,12,3
3,45,5
5,25,5
19,43,1
